GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E35001,E35002,E35003,E35004,E35005,E35006,E35007
"G4200830","1990",,,,,,,,,,"McKean","083",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Mc Kean County",2642,4722,14449,3438,1508,2321,1381,52,134,90,73,39,9,11,15,34,32,9,5,2,0,0,9,21,9,11,15,53,28,36,15,19,7,7,0,89,101,79,75,14,18,16
"G4200850","1990",,,,,,,,,,"Mercer","085",,"2","7610",,"9999","1","Pennsylvania","42",,,,,"Mercer County",6882,11751,34803,9243,3291,6835,3831,385,826,1268,490,153,81,47,0,9,28,5,2,7,6,11,24,54,21,5,25,42,9,29,10,2,0,6,0,15,52,65,44,6,9,5
"G4200870","1990",,,,,,,,,,"Mifflin","087",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Mifflin County",4358,5243,14693,2217,1065,1621,1011,2,7,21,8,0,0,0,20,13,0,7,5,2,0,0,3,35,0,0,0,8,0,0,0,0,0,0,0,0,12,41,0,0,0,0
"G4200890","1990",,,,,,,,,,"Monroe","089",,"2","7560",,"9999","1","Pennsylvania","42",,,,,"Monroe County",4109,9279,24894,8772,3080,7042,3523,83,120,334,194,69,101,65,0,0,22,6,13,20,5,8,18,37,26,28,87,44,16,53,41,27,24,29,9,92,175,392,261,97,139,61
"G4200910","1990",,,,,,,,,,"Montgomery","091",,"2","6162",,"6160","1","Pennsylvania","42",,,,,"Montgomery County",21634,44870,130828,67772,25337,84973,54454,1588,5563,7346,4679,1209,2742,1840,105,150,155,117,72,45,36,509,535,1402,871,777,2555,2418,162,159,291,109,62,162,157,522,672,1055,773,297,697,566
"G4200930","1990",,,,,,,,,,"Montour","093",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Montour County",1220,1723,4873,1145,667,1077,1085,8,5,2,0,0,0,28,5,0,0,0,0,0,0,0,4,7,24,0,12,38,0,6,38,0,0,0,0,0,6,42,0,0,0,14
"G4200950","1990",,,,,,,,,,"Northampton","095",,"2","0240",,"9999","1","Pennsylvania","42",,,,,"Northampton County",16046,25104,59006,19907,9555,16897,9292,221,461,1013,486,96,139,127,17,29,67,23,6,12,5,98,116,172,108,79,202,411,814,712,810,199,73,47,47,1400,1353,1488,431,155,230,123
"G4200970","1990",,,,,,,,,,"Northumberland","097",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Northumberland County",8883,11824,31592,5363,2453,3614,2017,33,36,48,24,22,11,2,2,22,20,1,0,0,9,8,11,33,7,0,28,19,21,6,29,31,0,8,0,38,33,79,51,12,25,27
"G4200990","1990",,,,,,,,,,"Perry","099",,"2","3240",,"9999","1","Pennsylvania","42",,,,,"Perry County",2590,4688,12988,2446,1220,1578,739,0,0,0,0,0,0,0,1,9,15,11,0,2,5,0,8,9,12,0,13,0,5,2,11,0,2,0,0,13,7,34,22,3,1,4
"G4201010","1990",,,,,,,,,,"Philadelphia","101",,"2","6162",,"6160","1","Pennsylvania","42",,,,,"Philadelphia County",62022,126746,201563,67863,21399,63801,48449,39807,111712,124893,53723,15813,22525,12189,121,636,688,373,87,175,110,5327,3108,4354,2374,1067,4075,3490,8434,7800,6140,2152,604,733,480,11195,11365,9530,4221,1150,1842,1486
"G4201030","1990",,,,,,,,,,"Pike","103",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Pike County",1179,2738,8339,2772,1009,1731,986,10,36,71,51,17,18,18,0,11,22,0,2,30,0,2,2,24,5,0,12,10,0,0,10,18,0,2,0,20,64,141,90,31,73,32
"G4201050","1990",,,,,,,,,,"Potter","105",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Potter County",1085,1742,5225,1118,571,751,289,7,0,2,0,3,0,3,6,0,0,0,0,0,0,3,2,8,8,0,0,22,0,2,0,0,0,0,0,0,2,9,2,0,10,0
"G4201070","1990",,,,,,,,,,"Schuylkill","107",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Schuylkill County",13175,19830,49533,8885,4945,5204,3177,46,198,172,99,2,25,27,8,17,38,13,3,2,10,51,48,65,34,15,48,65,23,24,15,2,2,2,2,79,58,38,33,21,44,14
"G4201090","1990",,,,,,,,,,"Snyder","109",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Snyder County",4018,3913,9767,1560,810,1391,964,105,0,0,0,0,8,2,0,2,6,0,0,10,0,0,4,16,7,2,13,9,0,13,10,8,0,0,0,9,29,12,13,0,2,0
"G4201110","1990",,,,,,,,,,"Somerset","111",,"2","3680",,"9999","1","Pennsylvania","42",,,,,"Somerset County",7713,8464,24771,4630,1876,2921,1663,2,18,32,14,2,0,0,2,10,16,0,0,10,7,2,8,14,0,6,2,25,12,0,7,13,0,12,0,20,15,72,29,0,14,9
"G4201130","1990",,,,,,,,,,"Sullivan","113",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Sullivan County",496,711,1898,403,225,219,134,6,0,0,0,0,0,0,7,4,10,0,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0
"G4201150","1990",,,,,,,,,,"Susquehanna","115",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Susquehanna County",2175,4071,12252,3203,1556,1852,1058,5,16,21,2,2,3,3,16,12,22,5,6,0,3,0,2,9,3,2,0,8,5,7,5,3,2,0,0,5,10,57,10,10,14,6
"G4201170","1990",,,,,,,,,,"Tioga","117",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Tioga County",2059,4894,11016,2947,1431,1923,1272,8,5,19,6,0,13,5,5,12,47,20,3,6,0,0,3,6,0,0,21,9,0,5,6,2,0,7,0,12,13,7,6,2,9,2
