GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G4800810","1980","A","3","7","Texas","48",,"Coke","081",,,,,,,,,,,,"02",,,,,"COKE",,,,,,,,,,,"1","1",,,,,,"1","1",,,,,"1","1",,,0,91,4,29,0,62,4,60
"G4800830","1980","A","3","7","Texas","48",,"Coleman","083",,,,,,,,,,,,"06",,,,,"COLEMAN",,,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,,0,226,0,69,0,96,21,142
"G4800850","1980","A","3","7","Texas","48","1920","Collin","085",,,,,,,,,,,,"C",,,,,"COLLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1857,55,219,0,984,25,964
"G4800870","1980","A","3","7","Texas","48",,"Collingsworth","087",,,,,,,,,,,,"06",,,,,"COLLINGSWORTH",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,134,5,23,0,49,0,88
"G4800890","1980","A","3","7","Texas","48",,"Colorado","089",,,,,,,,,,,,"14",,,,,"COLORADO",,,,"1","1",,,,,,"1",,"1",,,,,,"1",,,,,"1","1",,,0,686,14,185,0,270,17,494
"G4800910","1980","A","3","7","Texas","48","7240","Comal","091",,,,,,,,,,,,"02",,,,,"COMAL",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,9,2063,62,638,0,1413,123,1404
"G4800930","1980","A","3","7","Texas","48",,"Comanche","093",,,,,,,,,,,,"07",,,,,"COMANCHE",,,"1","1","1",,,,,"1","1",,,,,,,"1",,,,,"1",,,,,0,272,16,78,0,161,3,213
"G4800950","1980","A","3","7","Texas","48",,"Concho","095",,,,,,,,,,,,"02",,,,,"CONCHO",,,,"1","1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,173,11,46,0,115,7,122
"G4800970","1980","A","3","7","Texas","48",,"Cooke","097",,,,,,,,,,,,"07",,,,,"COOKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,0,41,0,56,13,75
"G4800990","1980","A","3","7","Texas","48","3810","Coryell","099",,,,,,,,,,,,"07",,,,,"CORYELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,286,20,216,76,238,76,617
"G4801010","1980","A","3","7","Texas","48",,"Cottle","101",,,,,,,,,,,,"06",,,,,"COTTLE",,,,,,,,,,,,,,,,,,,,,,,"1",,,,,0,106,2,17,0,37,0,64
"G4801030","1980","A","3","7","Texas","48",,"Crane","103",,,,,,,,,,,,"05",,,,,"CRANE",,,,"1","1",,,,,,,"1","1",,,,,"1","1",,,,"1","1",,,,0,273,0,34,0,92,8,195
"G4801050","1980","A","3","7","Texas","48",,"Crockett","105",,,,,,,,,,,,"06",,,,,"CROCKETT",,,"1","1",,,,,,"1","1",,,,,,"1",,,,,,,"1",,,,0,483,16,145,0,218,0,422
"G4801070","1980","A","3","7","Texas","48",,"Crosby","107",,,,,,,,,,,,"05",,,,,"CROSBY",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,0,720,42,158,0,315,27,586
"G4801090","1980","A","3","7","Texas","48",,"Culberson","109",,,,,,,,,,,,"01",,,,,"CULBERSON",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,,,,0,459,47,107,0,252,8,381
"G4801110","1980","A","3","7","Texas","48",,"Dallam","111",,,,,,,,,,,,"04",,,,,"DALLAM",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,0,264,19,51,0,126,15,168
"G4801130","1980","A","3","7","Texas","48","1920","Dallas","113",,,,,,,,,,,,"C",,,,,"DALLAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,128,43070,1661,6041,5,25730,1255,19519
"G4801150","1980","A","3","7","Texas","48",,"Dawson","115",,,,,,,,,,,,"05",,,,,"DAWSON",,,,"1",,,,,,,"1",,"1",,,,,,,,,,,"1",,,,0,1322,22,427,0,567,46,1164
